instrument_name,option_type,underlying_price_S,strike_K,time_to_maturity_T,risk_free_rate_r,option_price_V,implied_vol,price_heston_analytical,price_heston_monte_carlo,mc_error_abs,mc_error_rel
BTC-26JUN26-58000-C,call,63007.7,58000.0,0.0497234855006659,0.045,6048.7392,0.5120203897597254,5737.486696154709,5671.56882530747,65.91787084723819,0.011488980164680238
BTC-26JUN26-58000-P,put,63013.46,58000.0,0.0497234855006659,0.045,1055.475455,0.547162302138082,599.2504459197298,526.4471209830474,72.80332493668243,0.1214906479125666
BTC-26JUN26-59000-C,call,63015.71,59000.0,0.0497234855006659,0.045,5261.811785,0.4976561332845868,4954.691342346836,4908.238088253824,46.45325409301222,0.00937561008008406
BTC-26JUN26-59000-P,put,63017.26,59000.0,0.0497234855006659,0.045,1276.099515,0.5334131949585815,806.7888267986709,752.3369250432047,54.451901755466224,0.06749213666174675
BTC-26JUN26-60000-C,call,63023.18,60000.0,0.0497234855006659,0.045,4553.424755,0.4914941663642124,4230.53624840478,4181.262321917169,49.27392648761088,0.011647205837366536
BTC-26JUN26-60000-P,put,63024.35,60000.0,0.0497234855006659,0.045,1528.3404875,0.518461303187158,1072.9392036764839,1019.873800991922,53.06540268456183,0.04945797721131857
BTC-26JUN26-61000-C,call,63024.67,61000.0,0.0497234855006659,0.045,3844.50487,0.4763840805820405,3566.730072531267,3544.363591051704,22.366481479562935,0.00627086463643987
BTC-26JUN26-61000-P,put,63025.22,61000.0,0.0497234855006659,0.045,1843.4876849999937,0.5070154324297769,1405.5386789394906,1366.7603969695942,38.7782819698964,0.027589622790854428
BTC-26JUN26-62000-C,call,63025.22,62000.0,0.0497234855006659,0.045,3214.28622,0.4666404400962452,2971.0294389226183,2927.4651274457788,43.56431147683952,0.014663035951820527
BTC-26JUN26-62000-P,put,63024.87,62000.0,0.0497234855006659,0.045,2205.8704500000003,0.4950535753145558,1807.3763789201257,1771.3158111100142,36.06056781011148,0.01995188618745643
BTC-26JUN26-63000-C,call,63023.33,63000.0,0.0497234855006659,0.045,2646.9798600000004,0.4581349477517684,2444.4290504108067,2362.439688949456,81.98936146135065,0.03354131364441593
BTC-26JUN26-63000-P,put,63023.35,63000.0,0.0497234855006659,0.045,2615.469025,0.4818634222547862,2280.281137743572,2243.4378770854355,36.84326065813639,0.016157332553561464
BTC-26JUN26-64000-C,call,63032.4,64000.0,0.0497234855006659,0.045,2143.1016000000004,0.4491778063371528,1993.1410180751554,1960.523669343266,32.61734873188948,0.01636479729035388
